RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
8000,15591489,Davison,826,France,Male,26,5,142662.68,1,0,0,60285.3
8001,15629002,Hamilton,747,Germany,Male,36,8,102603.3,2,1,1,180693.61
8002,15798053,Nnachetam,707,Spain,Male,32,9,0,2,1,0,126475.79
8003,15753895,Blue,590,Spain,Male,37,1,0,2,0,0,133535.99
8004,15595426,Madukwe,603,Spain,Male,57,6,105000.85,2,1,1,87412.24
8005,15645815,Mills,615,France,Male,45,5,0,2,1,1,164886.64
8006,15632848,Ferrari,634,France,Female,36,1,69518.95,1,1,0,116238.39
8007,15703068,Nixon,716,Germany,Male,41,8,126145.54,2,1,1,138051.19
8008,15791513,Manfrin,647,France,Male,41,4,138937.35,1,1,1,101617.64
8009,15587210,McCartney,591,Germany,Female,44,10,113581.98,1,1,0,1985.41
8010,15793803,Robinson,574,France,Male,34,1,112572.39,1,0,0,165626.6
8011,15787756,Nkemdirim,467,Germany,Male,51,10,114514.71,2,1,0,177784.68
8012,15723437,Sal,701,France,Female,35,2,0,2,1,1,65765.22
8013,15702715,Kao,747,France,Female,34,10,0,2,1,1,50759.8
8014,15809872,Ikechukwu,650,France,Male,32,2,84906.45,1,1,0,163216.48
8015,15644295,Hargreaves,731,Spain,Female,39,2,126816.18,1,1,1,74850.93
8016,15778694,Sievier,638,Germany,Female,26,1,105249.76,2,1,1,23491.09
8017,15759555,Murphy,569,Spain,Male,41,2,0,2,1,0,134272.57
8018,15631406,Munro,459,Germany,Male,50,5,109387.9,1,1,0,155721.15
8019,15616676,Donnelly,632,Germany,Male,23,3,122478.51,1,1,0,147230.77
8020,15771154,North,683,France,Female,73,8,137732.23,2,1,1,133210.44
8021,15669491,Cruz,850,France,Female,46,2,157866.77,1,1,1,18986.12
8022,15697691,Sinclair,512,France,Female,41,6,0,1,1,1,100507.81
8023,15665180,Vasiliev,616,France,Female,31,3,136789.14,1,1,0,59346.4
8024,15752588,Vasilyeva,664,France,Male,36,1,0,2,1,1,95372.64
8025,15743051,Hamilton,694,France,Male,30,10,144684.03,1,1,1,31805.49
8026,15571873,Sung,655,France,Male,24,9,107065.31,1,1,1,51959.82
8027,15679743,Genovesi,607,France,Female,33,8,91301.72,1,0,1,130824.57
8028,15769412,Atkinson,684,Spain,Male,39,4,207034.96,2,0,0,157694.76
8029,15775124,Watterston,763,Spain,Male,37,8,0,2,1,1,933.38
8030,15732113,Butters,671,Spain,Male,50,8,0,1,0,1,2560.11
8031,15578141,Chien,592,Spain,Male,38,3,0,1,1,1,12905.89
8032,15595874,Gorbunova,666,Spain,Female,36,6,0,2,1,0,176692.87
8033,15755642,Bulgakov,667,France,Male,34,5,0,2,1,1,102908.63
8034,15576526,Steele,850,Spain,Male,36,6,0,2,0,1,41291.05
8035,15792489,Polyakova,622,Spain,Male,42,9,0,2,1,0,119127.06
8036,15733705,Bull,577,France,Female,30,8,92472.1,2,0,1,126434.61
8037,15807221,Weaver,555,Spain,Male,21,1,0,2,0,0,103901.35
8038,15573045,Earl,547,France,Male,62,10,127738.75,2,1,1,85153
8039,15756824,Giordano,613,Germany,Female,50,5,101242.98,2,1,0,12493.61
8040,15773520,Begg,672,France,Female,43,4,92599.55,2,1,1,167336.78
8041,15627439,Pickering,624,Spain,Female,36,10,0,2,0,1,186180.42
8042,15701439,Fanucci,698,Spain,Female,50,1,0,4,1,0,88566.9
8043,15785352,Chang,606,France,Male,37,6,82373.94,1,0,0,172526.9
8044,15616525,Sopuluchi,720,Spain,Male,31,4,141356.47,1,0,0,137985.69
8045,15717489,Martin,835,France,Male,23,9,0,1,1,0,19793.73
8046,15795737,McNaughtan,771,Spain,Female,47,3,72664,2,1,1,107874.39
8047,15693877,Stewart,811,France,Female,47,3,123365.34,2,0,0,171995.34
8048,15576111,Reagan,734,Germany,Male,33,5,121898.58,1,1,0,61829.89
8049,15595713,Heller,548,Spain,Male,33,6,0,1,1,1,31728.35
8050,15808868,Nwokeocha,652,France,Female,31,3,103696.97,3,0,0,155221.05
8051,15708193,Liu,707,France,Male,33,2,0,2,0,0,130866.95
8052,15697801,Sokolova,605,Germany,Female,56,1,74129.18,2,1,1,62199.78
8053,15770121,Bancroft,623,France,Female,34,9,0,1,1,0,24255.21
8054,15800524,Nnanna,686,Germany,Male,29,3,185379.02,1,1,0,64679.07
8055,15686236,Trevisani,525,Germany,Female,47,1,118087.68,1,1,0,88120.78
8056,15659807,Nwachinemelu,657,Spain,Male,41,8,109402.13,1,1,1,66463.62
8057,15736078,Ting,730,Germany,Female,33,7,130367.87,1,1,0,15142.1
8058,15620836,Lo Duca,816,Germany,Female,34,2,108410.87,2,1,0,102908.91
8059,15698184,Marshall,484,France,Female,50,2,90408.16,2,0,0,48170.57
8060,15717643,Band,728,France,Female,34,6,90425.15,2,1,1,11597.69
8061,15776596,Ferri,730,Spain,Female,39,6,140094.59,1,1,0,172450.04
8062,15814757,Carter,477,Spain,Male,31,9,0,2,0,1,184061.17
8063,15812607,Wilson,663,Germany,Female,46,6,95439.4,1,1,1,21038.58
8064,15663888,Connor,549,Germany,Male,34,6,204017.4,2,1,0,109538.35
8065,15748882,Reid,714,Spain,Male,29,9,0,2,1,0,129192.55
8066,15690829,Sandefur,430,Germany,Male,49,3,137115.16,1,1,0,146516.86
8067,15695819,Bidwill,504,Germany,Male,43,5,134740.19,2,1,0,181430.91
8068,15696834,Cone,530,France,Female,29,5,0,2,0,0,121451.21
8069,15797710,Saunders,619,Germany,Male,29,4,98955.87,1,0,1,131712.51
8070,15700654,Liardet,617,Germany,Male,44,9,49157.09,2,1,0,53294.17
8071,15583764,Wilkes,791,Germany,Male,31,1,130240.33,1,0,0,96546.55
8072,15688849,Martin,609,France,Male,48,1,108019.27,3,1,1,184524.65
8073,15661473,Boni,780,Germany,Male,51,4,126725.25,1,1,0,195259.31
8074,15601030,Patel,777,Germany,Female,34,5,96693.66,1,1,1,172618.52
8075,15789557,Howell-Price,817,Germany,Female,27,7,129810.6,1,1,1,59259.44
8076,15745250,Simpson,850,France,Male,58,8,156652.13,1,0,0,25899.21
8077,15590349,Rowland,732,France,Female,36,9,0,1,0,0,3749
8078,15741693,Barnard,693,France,Male,40,4,130661.96,1,1,1,101918.96
8079,15618446,Nnonso,576,France,Female,50,8,0,2,1,1,57802.62
8080,15766552,Rossi,643,France,Male,37,6,0,2,0,0,142454.77
8081,15668775,Pendred,757,France,Male,47,3,130747.1,1,1,0,143829.54
8082,15757895,Martin,569,Germany,Male,30,6,106629.49,1,0,1,44114.88
8083,15774551,K?,772,Spain,Male,36,3,112029.83,1,1,1,186948.35
8084,15684011,Miller,576,Germany,Male,29,7,130575.26,1,0,1,173629.78
8085,15736146,Afamefula,608,Germany,Male,28,4,96679.71,1,1,1,49133.45
8086,15656286,Sims,794,France,Male,33,0,0,2,0,0,178122.71
8087,15774847,Knight,593,France,Male,50,6,171740.69,1,0,0,20893.61
8088,15619340,Obijiaku,597,Spain,Male,38,1,0,2,1,0,41303.29
8089,15815656,Hopkins,541,Germany,Female,39,9,100116.67,1,1,1,199808.1
8090,15623357,Onio,692,Germany,Male,24,2,120596.93,1,0,1,180490.53
8091,15601324,Black,697,France,Female,48,1,0,2,1,1,87400.53
8092,15715510,Eluemuno,768,France,Male,29,2,95984.69,2,1,1,73686.75
8093,15663770,Doyle,802,France,Male,38,1,142557.11,1,1,1,172497.73
8094,15779267,Onyemere,584,France,Male,47,5,0,2,1,0,89286.29
8095,15597957,Rahman,614,Spain,Male,66,2,0,2,0,1,180082.7
8096,15584620,Su,850,Germany,Female,36,6,143644.16,1,1,0,22102.25
8097,15750772,Walker,671,France,Female,38,6,132129.72,1,0,1,76068.95
8098,15706557,Ferguson,626,France,Female,52,0,0,2,1,0,32159.46
8099,15594391,Samaniego,770,France,Female,68,2,183555.24,1,0,0,159557.28
8100,15661656,Onwumelu,633,France,Male,38,2,91902.56,2,1,1,107673.35
8101,15631217,Young,663,France,Male,40,6,156218.19,1,0,1,33607.72
8102,15588955,Mazzi,581,Germany,Female,43,5,93259.57,3,1,0,141035.65
8103,15758252,Toscano,561,Germany,Female,45,2,168085.38,2,0,1,115719.08
8104,15740223,Walton,479,Germany,Male,51,1,107714.74,3,1,0,86128.21
8105,15805413,Chiang,769,France,Female,31,6,117852.26,2,1,0,147668.64
8106,15635116,Burgos,659,Spain,Male,60,2,0,1,1,0,177480.45
8107,15764892,Spinelli,590,Spain,Female,51,10,84474.62,2,1,1,190937.09
8108,15795936,Lung,560,France,Male,50,3,0,2,1,0,84531.79
8109,15655232,Noble,437,Germany,Male,35,6,126803.34,2,1,1,161133.4
8110,15640133,Pai,661,France,Female,34,0,0,2,1,0,185555.63
8111,15751524,Chigozie,677,Germany,Female,36,10,68806.84,1,1,0,33075.24
8112,15670552,Peavy,560,France,Female,31,3,115141.18,1,1,0,39806.75
8113,15623966,Yermakov,578,France,Female,35,2,0,2,0,1,26389.92
8114,15752193,Burton,421,Spain,Male,34,6,90723.36,1,1,1,12162.76
8115,15607269,Costa,492,Germany,Female,49,2,151249.45,2,1,1,167237.94
8116,15700752,Pugliesi,545,France,Female,32,6,0,2,1,1,52067.37
8117,15777901,Lindell,640,Germany,Female,43,9,94752.49,1,1,0,184006.36
8118,15639117,Sorenson,624,Spain,Female,34,6,0,1,1,0,582.59
